Stud_Id, Stud_age, Stud_sex, Advisor_id, Adv_Id, Adv_age, Adv_sex, Yrs_of_exp, Salary
23, 13, 0, 3, 8, 55, 0, 4, 347410
23, 13, 0, 3, 9, 31, 0, 5, 359453
23, 13, 0, 3, 10, 34, 0, 4, 206027
25, 19, 0, 5, 1, 47, 0, 10, 433456
25, 19, 0, 5, 2, 47, 0, 3, 423529
25, 19, 0, 5, 3, 36, 1, 9, 183546
25, 19, 0, 5, 4, 40, 0, 10, 112134
25, 19, 0, 5, 5, 37, 1, 2, 205481
25, 19, 0, 5, 6, 38, 1, 7, 466075
25, 19, 0, 5, 7, 56, 0, 6, 462991
25, 19, 0, 5, 8, 55, 0, 4, 347410
25, 19, 0, 5, 9, 31, 0, 5, 359453
25, 19, 0, 5, 10, 34, 0, 4, 206027
26, 12, 0, 8, 1, 47, 0, 10, 433456
26, 12, 0, 8, 2, 47, 0, 3, 423529
26, 12, 0, 8, 3, 36, 1, 9, 183546
26, 12, 0, 8, 4, 40, 0, 10, 112134
26, 12, 0, 8, 5, 37, 1, 2, 205481
26, 12, 0, 8, 6, 38, 1, 7, 466075
26, 12, 0, 8, 7, 56, 0, 6, 462991
26, 12, 0, 8, 8, 55, 0, 4, 347410
26, 12, 0, 8, 9, 31, 0, 5, 359453
26, 12, 0, 8, 10, 34, 0, 4, 206027
30, 17, 0, 2, 1, 47, 0, 10, 433456
30, 17, 0, 2, 2, 47, 0, 3, 423529
30, 17, 0, 2, 3, 36, 1, 9, 183546
30, 17, 0, 2, 4, 40, 0, 10, 112134
30, 17, 0, 2, 5, 37, 1, 2, 205481
30, 17, 0, 2, 6, 38, 1, 7, 466075
30, 17, 0, 2, 7, 56, 0, 6, 462991
30, 17, 0, 2, 8, 55, 0, 4, 347410
30, 17, 0, 2, 9, 31, 0, 5, 359453
30, 17, 0, 2, 10, 34, 0, 4, 206027
1, 15, 1, 9, 1, 47, 0, 10, 433456
1, 15, 1, 9, 2, 47, 0, 3, 423529
1, 15, 1, 9, 3, 36, 1, 9, 183546
1, 15, 1, 9, 4, 40, 0, 10, 112134
1, 15, 1, 9, 5, 37, 1, 2, 205481
1, 15, 1, 9, 6, 38, 1, 7, 466075
1, 15, 1, 9, 7, 56, 0, 6, 462991
1, 15, 1, 9, 8, 55, 0, 4, 347410
1, 15, 1, 9, 9, 31, 0, 5, 359453
1, 15, 1, 9, 10, 34, 0, 4, 206027
3, 20, 1, 9, 1, 47, 0, 10, 433456
3, 20, 1, 9, 2, 47, 0, 3, 423529
3, 20, 1, 9, 3, 36, 1, 9, 183546
3, 20, 1, 9, 4, 40, 0, 10, 112134
3, 20, 1, 9, 5, 37, 1, 2, 205481
3, 20, 1, 9, 6, 38, 1, 7, 466075
3, 20, 1, 9, 7, 56, 0, 6, 462991
3, 20, 1, 9, 8, 55, 0, 4, 347410
3, 20, 1, 9, 9, 31, 0, 5, 359453
3, 20, 1, 9, 10, 34, 0, 4, 206027
4, 18, 1, 4, 1, 47, 0, 10, 433456
4, 18, 1, 4, 2, 47, 0, 3, 423529
4, 18, 1, 4, 3, 36, 1, 9, 183546
4, 18, 1, 4, 4, 40, 0, 10, 112134
4, 18, 1, 4, 5, 37, 1, 2, 205481
4, 18, 1, 4, 6, 38, 1, 7, 466075
4, 18, 1, 4, 7, 56, 0, 6, 462991
4, 18, 1, 4, 8, 55, 0, 4, 347410
4, 18, 1, 4, 9, 31, 0, 5, 359453
4, 18, 1, 4, 10, 34, 0, 4, 206027
9, 20, 1, 8, 1, 47, 0, 10, 433456
9, 20, 1, 8, 2, 47, 0, 3, 423529
9, 20, 1, 8, 3, 36, 1, 9, 183546
9, 20, 1, 8, 4, 40, 0, 10, 112134
9, 20, 1, 8, 5, 37, 1, 2, 205481
9, 20, 1, 8, 6, 38, 1, 7, 466075
9, 20, 1, 8, 7, 56, 0, 6, 462991
9, 20, 1, 8, 8, 55, 0, 4, 347410
9, 20, 1, 8, 9, 31, 0, 5, 359453
9, 20, 1, 8, 10, 34, 0, 4, 206027
10, 19, 1, 5, 1, 47, 0, 10, 433456
10, 19, 1, 5, 2, 47, 0, 3, 423529
10, 19, 1, 5, 3, 36, 1, 9, 183546
10, 19, 1, 5, 4, 40, 0, 10, 112134
10, 19, 1, 5, 5, 37, 1, 2, 205481
10, 19, 1, 5, 6, 38, 1, 7, 466075
10, 19, 1, 5, 7, 56, 0, 6, 462991
10, 19, 1, 5, 8, 55, 0, 4, 347410
10, 19, 1, 5, 9, 31, 0, 5, 359453
10, 19, 1, 5, 10, 34, 0, 4, 206027
12, 12, 1, 5, 1, 47, 0, 10, 433456
12, 12, 1, 5, 2, 47, 0, 3, 423529
12, 12, 1, 5, 3, 36, 1, 9, 183546
12, 12, 1, 5, 4, 40, 0, 10, 112134
12, 12, 1, 5, 5, 37, 1, 2, 205481
12, 12, 1, 5, 6, 38, 1, 7, 466075
12, 12, 1, 5, 7, 56, 0, 6, 462991
12, 12, 1, 5, 8, 55, 0, 4, 347410
12, 12, 1, 5, 9, 31, 0, 5, 359453
12, 12, 1, 5, 10, 34, 0, 4, 206027
17, 16, 1, 8, 1, 47, 0, 10, 433456
17, 16, 1, 8, 2, 47, 0, 3, 423529
17, 16, 1, 8, 3, 36, 1, 9, 183546
17, 16, 1, 8, 4, 40, 0, 10, 112134
17, 16, 1, 8, 5, 37, 1, 2, 205481
17, 16, 1, 8, 6, 38, 1, 7, 466075
17, 16, 1, 8, 7, 56, 0, 6, 462991
17, 16, 1, 8, 8, 55, 0, 4, 347410
17, 16, 1, 8, 9, 31, 0, 5, 359453
17, 16, 1, 8, 10, 34, 0, 4, 206027
18, 13, 1, 2, 1, 47, 0, 10, 433456
18, 13, 1, 2, 2, 47, 0, 3, 423529
18, 13, 1, 2, 3, 36, 1, 9, 183546
18, 13, 1, 2, 4, 40, 0, 10, 112134
18, 13, 1, 2, 5, 37, 1, 2, 205481
18, 13, 1, 2, 6, 38, 1, 7, 466075
18, 13, 1, 2, 7, 56, 0, 6, 462991
18, 13, 1, 2, 8, 55, 0, 4, 347410
18, 13, 1, 2, 9, 31, 0, 5, 359453
18, 13, 1, 2, 10, 34, 0, 4, 206027
24, 15, 1, 9, 1, 47, 0, 10, 433456
24, 15, 1, 9, 2, 47, 0, 3, 423529
24, 15, 1, 9, 3, 36, 1, 9, 183546
24, 15, 1, 9, 4, 40, 0, 10, 112134
24, 15, 1, 9, 5, 37, 1, 2, 205481
24, 15, 1, 9, 6, 38, 1, 7, 466075
24, 15, 1, 9, 7, 56, 0, 6, 462991
24, 15, 1, 9, 8, 55, 0, 4, 347410
24, 15, 1, 9, 9, 31, 0, 5, 359453
24, 15, 1, 9, 10, 34, 0, 4, 206027
27, 14, 1, 2, 1, 47, 0, 10, 433456
27, 14, 1, 2, 2, 47, 0, 3, 423529
27, 14, 1, 2, 3, 36, 1, 9, 183546
27, 14, 1, 2, 4, 40, 0, 10, 112134
27, 14, 1, 2, 5, 37, 1, 2, 205481
27, 14, 1, 2, 6, 38, 1, 7, 466075
27, 14, 1, 2, 7, 56, 0, 6, 462991
27, 14, 1, 2, 8, 55, 0, 4, 347410
27, 14, 1, 2, 9, 31, 0, 5, 359453
27, 14, 1, 2, 10, 34, 0, 4, 206027
28, 13, 1, 10, 1, 47, 0, 10, 433456
28, 13, 1, 10, 2, 47, 0, 3, 423529
28, 13, 1, 10, 3, 36, 1, 9, 183546
28, 13, 1, 10, 4, 40, 0, 10, 112134
28, 13, 1, 10, 5, 37, 1, 2, 205481
28, 13, 1, 10, 6, 38, 1, 7, 466075
28, 13, 1, 10, 7, 56, 0, 6, 462991
28, 13, 1, 10, 8, 55, 0, 4, 347410
28, 13, 1, 10, 9, 31, 0, 5, 359453
28, 13, 1, 10, 10, 34, 0, 4, 206027
29, 18, 1, 5, 1, 47, 0, 10, 433456
29, 18, 1, 5, 2, 47, 0, 3, 423529
29, 18, 1, 5, 3, 36, 1, 9, 183546
29, 18, 1, 5, 4, 40, 0, 10, 112134
29, 18, 1, 5, 5, 37, 1, 2, 205481
29, 18, 1, 5, 6, 38, 1, 7, 466075
29, 18, 1, 5, 7, 56, 0, 6, 462991
29, 18, 1, 5, 8, 55, 0, 4, 347410
29, 18, 1, 5, 9, 31, 0, 5, 359453
29, 18, 1, 5, 10, 34, 0, 4, 206027
